Nath de la Renaud;"Inmost";"Paradise Killer";"Risk of Rain 2";"Fall Guys: Ultimate Knockout";"Yakuza: Like a Dragon";"";"Terraria";"Rogue Legacy 2";"Half Life: Alyx";""
Françoise Raymond;"Trials of Mana";"Journey";"Black Mesa";"Titanfall 2";"Risk of Rain 2";"";"No Man Sky";"Baldur's Gate 3";"Half-Life: Alyx";"Fifa 21"
Isaac Le Lacombe;"Black Mesa";"Death Stranding";"Paradise Killer";"Half-Life: Alyx";"Persona 4 Golden";"";"Apex Legends";"Teardown";"Half-Life: Alyx";""
Claudine Maury;"Monster Train";"Deep Rock Galactic";"Outer Wilds";"Ori And The Will Of The Wisps";"Cyberpunk 2077";"";"Deep Rock Galactic";"Star Citizen";"N/A";"Genshin Impact"
Christelle Lacombe;"Yakuza Like A Dragon";"Streets of Rage 4";"Ori and Will of the Wisps";"Half Life Alyx";"Hades";"";"Apex Legends";"";"Half Life Alyx";"Watch Dogs Legion"
Olivie Fischer de la Colas;"Death Stranding";"Hades";"The Last of Us: Part 2";"What The Golf";"Half-Life: Alyx";"";"Factorio";"Teardown";"Half-Life: Alyx";"Super Meatboy Forever"
Marine Tessier-Chevalier;"Nexomon: Extinction";"DEATH STRANDING";"Cyberpunk 2077";"Hades";"Yakuza: Like a Dragon";"";"Counter-Strike: Global Offensive";"Teardown";"Half-Life: Alyx";"XIII"
Marc-Thomas Faivre;"Hades";"Crusader Kings 3";"Star Wars Squadrons";"Genshin Impact";"Persona 4 Golden";"";"Final Fantasy XIV";"Baldur's Gate 3";"Half-Life Alyx";"XIII Remaster"
Théophile Martins du Gilbert;"";"";"Ori and the Will of the Wisps";"Doom Eternal";"Persona 4 Golden";"";"Gears 5";"";"";""
Paul Langlois;"Ori and the Will of the Wisps";"Yakuza: Like a Dragon";"Tony Hawk's Pro Skater 1 + 2";"Hades";"Half Life: Alyx";"";"Marvel Heroes (steam emojis) - or Rocket League";"Cyberpunk 2077";"Half Life Alyx";"Cyberpunk 2077"
Marianne de Collin;"Streets of Rage 4";"Monster Train";"Cyberpunk 2077";"Yakuza Like A Dragon";"Hades";"";"";"Record of Lodoss War -Deedlit in Wonder Labyrinth-";"";"XIII Remake"
Charlotte Adam-Bazin;"Star Wars: Squadrons";"Serious Sam 4";"Immortals: Fenyx Rising";"Death Stranding";"Doom Eternal";"";"No Man's Sky";"Temtem";"Half Life: Alyx";""
Léon Lemoine;"";"";"";"Command and Conquer Remastered";"DOOM Eternal";"";"";"";"";""
Olivie Marty de Deschamps;"Umurangi Generation";"Crusader Kings 3";"DOOM Eternal";"Half-Life: Alyx";"Cyberpunk 2077";"";"Counter-Strike: Global Offensive";"Baldur's Gate 3";"Half-Life: Alyx";"Medal of Honor: Above and Beyond"
Valentine Clement;"Mafia: Definitive Edition";"Resident Evil 3";"Control Ultimate Edition";"Horizon Zero Dawn™ Complete Edition";"Cyberpunk 2077";"";"The Sims 4";"Teardown";"Half-Life: Alyx";"Grey Skies: A War of the Worlds Story"
Maryse Launay;"";"";"";"";"Cyberpunk 2077";"";"Warframe";"";"Half-Life Alyx";"Marvel's Avengers"
Laurence du Georges;"";"";"";"";"Spelunky 2";"";"Sea of Thieves";"Risk of Rain 2";"Half Life: Alyx";""
Henriette Turpin;"There is no game: Wrong dimension";"Paradise Killer";"Outer Wilds";"Control: Ultimate Edition";"Hades";"";"No Man's Sky";"";"";""
Louis Dumas-Caron;"Assassins Creed Valhalla";"Doom Eternal";"Hades";"Half -Life: Alyx";"Cyberpunk 2077";"";"Apex Legends";"Teardown";"Half-Life: Alyx";"XIII Remake"
Marc Blanchet;"Black Mesa";"Desperados 3";"Art of Rally ";"Half-Life Alyx";"Death Stranding";"";"Rimworld";"Teardown";"Half-Life Alyx";""
Antoine Allain du Mace;"Cyberpunk 2077";"The Last Campfire";"XCOM: Chimera Squad";"Doom: Eternal";"Half-Life: Alyx";"";"";"";"";""
Suzanne du Briand;"Streets of Rage 4";"Ori and the Will of the Wisps";"Sakuna of Rice & Ruin";"Wonderful 101 PC Port";"Doom Eternal";"";"";"";"";"Resident Evil 3 REmake"
Patrick Fabre-Couturier;"XCOM: Chimera Squad";"Flight Simulator";"Crusader Kings's III";"Death Stranding";"Cyberpunk 2077";"";"Total War: Warhammer 2";"Satisfactory Steam Edition";"Half Life: Alyx";"Marvel's Avengers"
